"","JH01_S26","JH02_S27","JH03_S28","JH04_S29","JH05_S30","JH06_S31","JH07_S32","JH08_S33","JH09_S34","JH10_S35","JH11_S36","JH12_S37","JH13_S38","JH14_S39","JH15_S40","JH16_S41","JH17_S42","JH18_S43","JH19_S44","JH20_S45","JH21_S46","JH22_S47","JH23_S48","JH24_S49","JH25_S50","JH26_S51","JH27_S52","JH28_S53","JH29_S54","JH30_S55"
"ENSG00000290825.2",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
"ENSG00000223972.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000310526.1",26,12,44,44,43,13,23,20,17,21,37,7,20,48,68,46,17,49,65,48,23,4,40,9,40,47,27,36,15,6
"ENSG00000227232.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278267.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243485.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284332.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237613.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000308361.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000290826.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268020.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186092.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241860.8",48,40,78,87,13,2,31,99,32,51,27,106,23,36,39,42,13,37,25,60,17,25,11,12,52,28,6,16,24,34
"ENSG00000239945.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000308314.1",0,0,2,0,4,0,0,0,0,0,4,0,2,0,1,2,0,0,2,0,1,0,0,0,3,0,0,0,0,0
"ENSG00000233750.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"ENSG00000308579.1",203,152,301,275,109,48,72,333,171,174,156,131,51,179,178,196,146,177,179,212,114,128,73,54,291,470,101,120,230,111
"ENSG00000268903.1",76,33,67,77,27,15,19,50,40,54,23,45,22,33,33,34,32,41,63,33,20,24,19,16,53,47,19,20,48,33
"ENSG00000269981.1",875,684,1529,1304,563,238,326,1174,681,943,578,939,262,803,598,682,655,779,996,1031,419,386,373,191,605,1350,194,414,724,453
"ENSG00000239906.1",36,25,26,25,19,6,4,23,11,30,8,46,10,22,10,17,28,13,20,17,5,8,17,4,22,45,0,2,17,10
"ENSG00000310528.1",2,9,7,11,6,0,7,6,1,5,2,14,0,0,3,9,5,5,5,4,0,2,6,1,3,5,1,1,5,3
"ENSG00000222623.1",0,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,1
