group,regimen,covariate,phenotype,MIC_mg_L,target,n,attained_n,PTA,PTA_lower_95,PTA_upper_95
CRP_max_CI,Continuous infusion,CRP,High,0.25,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
CRP_max_CI,Continuous infusion,CRP,High,0.5,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
CRP_max_CI,Continuous infusion,CRP,High,1,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
CRP_max_CI,Continuous infusion,CRP,High,2,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
CRP_max_CI,Continuous infusion,CRP,High,4,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
CRP_max_CI,Continuous infusion,CRP,High,8,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
CRP_max_CI,Continuous infusion,CRP,High,16,100% fT>4xMIC,10000,9887,0.9887,0.986432588781874,0.990592091210627
CRP_max_CI,Continuous infusion,CRP,High,32,100% fT>4xMIC,10000,6315,0.6315,0.621996359411166,0.640902649017346
CRP_max_CI,Continuous infusion,CRP,High,64,100% fT>4xMIC,10000,366,0.0366,0.0330939774350734,0.0404619122548697
CRP_max_CI,Continuous infusion,CRP,High,128,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
CRP_max_CI,Continuous infusion,CRP,High,256,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
CRP_max_CI,Continuous infusion,CRP,High,0.25,100% fT>MIC,10000,10000,1,0.999616001629323,1
CRP_max_CI,Continuous infusion,CRP,High,0.5,100% fT>MIC,10000,10000,1,0.999616001629323,1
CRP_max_CI,Continuous infusion,CRP,High,1,100% fT>MIC,10000,10000,1,0.999616001629323,1
CRP_max_CI,Continuous infusion,CRP,High,2,100% fT>MIC,10000,10000,1,0.999616001629323,1
CRP_max_CI,Continuous infusion,CRP,High,4,100% fT>MIC,10000,10000,1,0.999616001629323,1
CRP_max_CI,Continuous infusion,CRP,High,8,100% fT>MIC,10000,10000,1,0.999616001629323,1
CRP_max_CI,Continuous infusion,CRP,High,16,100% fT>MIC,10000,10000,1,0.999616001629323,1
CRP_max_CI,Continuous infusion,CRP,High,32,100% fT>MIC,10000,10000,1,0.999616001629323,1
CRP_max_CI,Continuous infusion,CRP,High,64,100% fT>MIC,10000,9887,0.9887,0.986432588781874,0.990592091210627
CRP_max_CI,Continuous infusion,CRP,High,128,100% fT>MIC,10000,6315,0.6315,0.621996359411166,0.640902649017346
CRP_max_CI,Continuous infusion,CRP,High,256,100% fT>MIC,10000,366,0.0366,0.0330939774350734,0.0404619122548697
CRP_min_CI,Continuous infusion,CRP,Low,0.25,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
CRP_min_CI,Continuous infusion,CRP,Low,0.5,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
CRP_min_CI,Continuous infusion,CRP,Low,1,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
CRP_min_CI,Continuous infusion,CRP,Low,2,100% fT>4xMIC,10000,10000,1,0.999616001629323,1
CRP_min_CI,Continuous infusion,CRP,Low,4,100% fT>4xMIC,10000,9993,0.9993,0.99855566555873,0.999660873668312
CRP_min_CI,Continuous infusion,CRP,Low,8,100% fT>4xMIC,10000,8709,0.8709,0.864185326785528,0.877329823223105
CRP_min_CI,Continuous infusion,CRP,Low,16,100% fT>4xMIC,10000,2143,0.2143,0.206368069358491,0.222451347310513
