MIC_mg_L,Cohort_100% fT>MIC,Cohort_100% fT>4xMIC,eGFR High_100% fT>MIC,eGFR High_100% fT>4xMIC,eGFR Low_100% fT>MIC,eGFR Low_100% fT>4xMIC,Factor 4 High_100% fT>MIC,Factor 4 High_100% fT>4xMIC,Factor 4 Low_100% fT>MIC,Factor 4 Low_100% fT>4xMIC,CRP High_100% fT>MIC,CRP High_100% fT>4xMIC,CRP Low_100% fT>MIC,CRP Low_100% fT>4xMIC
0.25,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
0.5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
2,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
4,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
8,100%,97%,100%,99%,100%,100%,100%,100%,100%,99%,100%,100%,100%,89%
16,100%,78%,100%,76%,100%,98%,100%,100%,100%,66%,100%,99%,100%,23%
32,97%,36%,99%,11%,100%,55%,100%,96%,99%,6%,100%,64%,89%,0%
64,78%,6%,76%,0%,98%,2%,100%,32%,66%,0%,99%,4%,23%,0%
128,36%,0%,11%,0%,55%,0%,96%,0%,6%,0%,64%,0%,0%,0%
256,6%,0%,0%,0%,2%,0%,32%,0%,0%,0%,4%,0%,0%,0%
