MIC_mg_L,Cohort_100% fT>MIC,Cohort_100% fT>4xMIC,eGFR High_100% fT>MIC,eGFR High_100% fT>4xMIC,eGFR Low_100% fT>MIC,eGFR Low_100% fT>4xMIC,Factor 4 High_100% fT>MIC,Factor 4 High_100% fT>4xMIC,Factor 4 Low_100% fT>MIC,Factor 4 Low_100% fT>4xMIC,CRP High_100% fT>MIC,CRP High_100% fT>4xMIC,CRP Low_100% fT>MIC,CRP Low_100% fT>4xMIC
0.25,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%,100%,100%,99%,95%
0.5,98%,97%,100%,100%,100%,100%,100%,100%,100%,99%,100%,100%,99%,82%
1,98%,94%,100%,98%,100%,100%,100%,100%,99%,94%,100%,100%,95%,62%
2,97%,83%,100%,93%,100%,100%,100%,100%,99%,84%,100%,100%,82%,28%
4,94%,71%,98%,70%,100%,100%,100%,100%,94%,55%,100%,98%,62%,11%
8,83%,54%,93%,35%,100%,86%,100%,100%,84%,14%,100%,91%,28%,0%
16,71%,29%,70%,3%,100%,43%,100%,92%,55%,2%,98%,56%,11%,0%
32,54%,10%,35%,0%,86%,7%,100%,52%,14%,0%,91%,11%,0%,0%
64,29%,2%,3%,0%,43%,0%,92%,2%,2%,0%,56%,0%,0%,0%
128,10%,0%,0%,0%,7%,0%,52%,0%,0%,0%,11%,0%,0%,0%
256,2%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%
