Variable,Factor analysis cohort,PK modelling cohort
"Age, years",61.2 (15.8),61.2 (17.0)
"Female sex, n (%)",14 (48.3),12 (50.0)
"Body mass index, kg/m2",31.3 (9.6),31.3 (10.4)
"Surgery during admission, n (%)",17 (58.6),15 (62.5)
HAP,21 (72.4),18 (75.0)
Other,3 (10.3),2 (8.3)
"Sepsis, likely respiratory origin",2 (6.9),2 (8.3)
VAP,2 (6.9),1 (4.2)
CAP,1 (3.4),1 (4.2)
SOFA score,"6.0 [3.0, 9.0]","5.0 [2.8, 7.2]"
"Vasopressor requirement, n (%)",8 (27.6),5 (20.8)
"White cell count, x10^9/L",15.0 (5.3),13.7 (4.5)
"C-reactive protein, mg/L","226.0 [109.0, 282.0]","219.0 [130.8, 285.0]"
"Procalcitonin, ng/mL","0.5 [0.3, 1.7]","0.4 [0.3, 1.7]"
"eGFR, mL/min/1.73m2",64.2 (35.3),72.5 (32.9)
"Skin moisture, %",43.1 (11.4),43.5 (9.2)
"SRS1/SRS2, n (%)",16 (55.2)/13 (44.8),13 (54.2)/11 (45.8)
"Hyper-/Hypo-inflammatory, n (%)",7 (24.1)/22 (75.9),5 (20.8)/19 (79.2)
