Variable,Factor analysis cohort (N=29),"Missing, n (%)",PK modelling cohort (N=24),"Missing, n (%) "
CCL2 (MCP-1) (pg/mL),"134.2 [99.0, 172.3]",0 (0.0%),"126.8 [106.0, 168.2]",0 (0.0%)
CXCL10 (IP-10) (pg/mL),"69.9 [55.3, 173.6]",0 (0.0%),"68.2 [57.0, 161.9]",0 (0.0%)
IFN-γ (pg/mL),"78.0 [52.3, 96.1]",0 (0.0%),"78.3 [57.9, 98.9]",0 (0.0%)
IL-1β (pg/mL),"84.8 [61.0, 106.9]",2 (6.9%),"83.3 [61.0, 106.9]",1 (4.2%)
IL-10 (pg/mL),"8.7 [7.3, 14.8]",10 (34.5%),"8.5 [7.3, 12.8]",9 (37.5%)
IL-18 (pg/mL),"155.4 [133.7, 222.1]",0 (0.0%),"150.7 [129.1, 210.8]",0 (0.0%)
IL-33 (pg/mL),"462.1 [381.6, 651.7]",1 (3.4%),"490.6 [396.6, 653.1]",1 (4.2%)
IL-6 (pg/mL),"91.8 [36.2, 283.9]",0 (0.0%),"73.7 [35.5, 259.3]",0 (0.0%)
CXCL8 (IL-8) (pg/mL),"152.5 [98.2, 198.2]",0 (0.0%),"147.2 [97.1, 199.5]",0 (0.0%)
TNF-α (pg/mL),"75.5 [65.9, 94.8]",7 (24.1%),"77.8 [65.5, 96.8]",5 (20.8%)
Albumin (g/L),"24.0 [21.0, 30.0]",0 (0.0%),"23.5 [21.0, 28.5]",0 (0.0%)
Basophils (x10^9/L),"0.0 [0.0, 0.0]",0 (0.0%),"0.0 [0.0, 0.0]",0 (0.0%)
CRP (mg/L),"226.0 [109.0, 282.0]",0 (0.0%),"219.0 [130.8, 285.0]",0 (0.0%)
Eosinophils (x10^9/L),"0.0 [0.0, 0.1]",0 (0.0%),"0.0 [0.0, 0.2]",0 (0.0%)
Lymphocytes (x10^9/L),"1.1 [0.6, 1.5]",0 (0.0%),"1.1 [0.6, 1.5]",0 (0.0%)
Monocytes (x10^9/L),"0.9 [0.7, 1.5]",0 (0.0%),"0.9 [0.6, 1.5]",0 (0.0%)
Neutrophils (x10^9/L),"12.9 [9.1, 15.3]",0 (0.0%),"11.3 [8.2, 14.8]",0 (0.0%)
Platelets (x10^9/L),"193.0 [156.0, 241.0]",0 (0.0%),"191.0 [155.2, 230.5]",0 (0.0%)
Protein C (%),"80.9 [58.1, 90.1]",2 (6.9%),"82.4 [59.5, 98.1]",1 (4.2%)
WBC (x10^9/L),"15.6 [11.5, 18.7]",0 (0.0%),"13.8 [10.5, 16.6]",0 (0.0%)
